player,season,round,pick,team,age,college,power_5,seasons,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,successful
Sam Bradford,2010,1,1,LA,22.0,Oklahoma,False,3.0,31,604,893,67.6,8403,88,9.9,16,1.8,9.4,10.57,13.9,271.1,175.6,False
Tim Tebow,2010,1,25,DEN,23.0,Florida,True,4.0,55,661,995,66.4,9285,88,8.8,16,1.6,9.3,10.38,14.0,168.8,170.8,False
Jake Locker,2011,1,8,TEN,23.0,Washington,True,4.0,40,619,1147,54.0,7639,53,4.6,35,3.1,6.7,6.21,12.3,191.0,119.1,False
Blaine Gabbert,2011,1,10,JAX,21.0,Missouri,True,3.0,31,568,933,60.9,6822,40,4.3,18,1.9,7.3,7.30,12.0,220.1,132.6,False
Christian Ponder,2011,1,12,MIN,23.0,Florida St.,True,4.0,35,596,965,61.8,6872,49,5.1,30,3.1,7.1,6.74,11.5,196.3,132.1,False
Andrew Luck,2012,1,1,IND,22.0,Stanford,True,3.0,38,713,1064,67.0,9430,82,7.7,22,2.1,8.9,9.47,13.2,248.2,162.8,True
Robert Griffin III,2012,1,2,WAS,22.0,Baylor,True,4.0,41,800,1192,67.1,10366,78,6.5,17,1.4,8.7,9.36,13.0,252.8,158.9,False
Ryan Tannehill,2012,1,8,MIA,24.0,Texas A&M,True,4.0,50,484,774,62.5,5450,42,5.4,21,2.7,7.0,6.91,11.3,109.0,134.2,True
Brandon Weeden,2012,1,22,CLE,28.0,Oklahoma St.,True,4.0,30,767,1103,69.5,9260,75,6.8,27,2.4,8.4,8.65,12.1,308.7,157.6,False
EJ Manuel,2013,1,16,BUF,23.0,Florida St.,True,4.0,43,600,897,66.9,7741,47,5.2,28,3.1,8.6,8.27,12.9,180.0,150.4,False
Blake Bortles,2014,1,3,JAX,22.0,Central Florida,False,3.0,37,585,891,65.7,7598,56,6.3,19,2.1,8.5,8.82,13.0,205.4,153.8,True
Johnny Manziel,2014,1,22,CLE,21.0,Texas A&M,True,2.0,26,595,863,68.9,7820,63,7.3,22,2.5,9.1,9.37,13.1,300.8,164.1,False
Teddy Bridgewater,2014,1,32,MIN,21.0,Louisville,True,3.0,39,781,1142,68.4,9817,72,6.3,24,2.1,8.6,8.91,12.6,251.7,157.2,False
Jameis Winston,2015,1,1,TAM,21.0,Florida St.,True,2.0,27,562,851,66.0,7964,65,7.6,28,3.3,9.4,9.41,14.2,295.0,163.3,False
Marcus Mariota,2015,1,2,TEN,21.0,Oregon,True,3.0,41,779,1167,66.8,10796,105,9.0,14,1.2,9.3,10.51,13.9,263.3,171.8,True
Jared Goff,2016,1,1,LAR,21.0,California,True,3.0,37,977,1569,62.3,12200,96,6.1,30,1.9,7.8,8.14,12.5,329.7,144.0,True
Carson Wentz,2016,1,2,PHI,23.0,North Dakota St.,False,,,,,,,,,,,,,,,,True
Paxton Lynch,2016,1,26,DEN,22.0,Memphis,False,3.0,38,758,1205,62.9,8863,59,4.9,23,1.9,7.4,7.48,11.7,233.2,137.0,False
Kenny Pickett,2022,1,20,PIT,24.0,Pittsburgh,True,5.0,52,1045,1674,62.4,12303,81,4.8,32,1.9,7.3,7.46,11.8,236.6,136.3,False
Trevor Lawrence,2021,1,1,JAX,21.0,Clemson,True,3.0,40,758,1138,66.6,10098,90,7.9,17,1.5,8.9,9.78,13.3,252.5,164.3,True
Zach Wilson,2021,1,2,NYJ,22.0,BYU,True,3.0,30,566,837,67.6,7652,56,6.7,15,1.8,9.1,9.67,13.5,255.1,162.9,False
Trey Lance,2021,1,3,SFO,21.0,North Dakota St.,False,,,,,,,,,,,,,,,,False
Justin Fields,2021,1,11,CHI,22.0,Ohio St.,True,6.0,22,396,579,68.4,5373,63,10.9,9,1.6,9.3,10.76,13.6,244.2,179.1,False
Mac Jones,2021,1,15,NWE,23.0,Alabama,True,3.0,39,413,556,74.3,6126,56,10.1,7,1.3,11.0,12.47,14.8,157.1,197.6,False
Tua Tagovailoa,2020,1,5,MIA,22.0,Alabama,True,3.0,33,474,684,69.3,7442,87,12.7,11,1.6,10.9,12.70,15.7,225.5,199.4,True
Justin Herbert,2020,1,6,LAC,22.0,Oregon,True,4.0,44,827,1293,64.0,10541,95,7.3,23,1.8,8.2,8.82,12.7,239.6,153.1,True
Jordan Love,2020,1,26,GNB,21.0,Utah St.,False,3.0,38,689,1125,61.2,8600,60,5.3,29,2.6,7.6,7.55,12.5,226.3,137.9,True
Daniel Jones,2019,1,6,NYG,22.0,Duke,True,3.0,36,764,1275,59.9,8201,52,4.1,29,2.3,6.4,6.22,10.7,227.8,122.9,False
Dwayne Haskins,2019,1,15,WAS,22.0,Ohio St.,True,2.0,22,413,590,70.0,5396,54,9.2,9,1.5,9.1,10.29,13.1,245.3,174.0,False
Baker Mayfield,2018,1,1,CLE,23.0,Oklahoma,False,8.0,8,218,340,64.1,2315,12,3.5,9,2.6,6.8,6.32,10.6,289.4,127.7,True
Sam Darnold,2018,1,3,NYJ,21.0,USC,True,2.0,27,549,846,64.9,7229,57,6.7,22,2.6,8.5,8.72,13.2,267.7,153.7,False
Josh Allen,2018,1,7,BUF,22.0,Wyoming,False,5.0,44,1,1,100.0,9,1,100.0,0,0.0,9.0,29.00,9.0,0.2,505.6,True
Josh Rosen,2018,1,10,ARI,21.0,UCLA,True,3.0,30,712,1170,60.9,9341,59,5.0,26,2.2,8.0,7.99,13.1,311.4,140.1,False
Lamar Jackson,2018,1,32,BAL,21.0,Louisville,True,3.0,38,619,1086,57.0,9043,69,6.4,27,2.5,8.3,8.48,14.6,238.0,142.9,True
Mitchell Trubisky,2017,1,2,CHI,23.0,North Carolina,True,3.0,34,386,572,67.5,4762,41,7.2,10,1.7,8.3,8.97,12.3,140.1,157.6,False
Patrick Mahomes,2017,1,10,KAN,21.0,Texas Tech,True,3.0,32,857,1349,63.5,11252,93,6.9,29,2.1,8.3,8.75,13.1,351.6,152.0,True
Deshaun Watson,2017,1,12,HOU,21.0,Clemson,True,3.0,38,814,1207,67.4,10163,90,7.5,32,2.7,8.4,8.72,12.5,267.4,157.5,True
Cam Newton,2011,1,1,CAR,22.0,Auburn,True,3.0,6,6,12,50.0,54,0,0.0,0,0.0,4.5,4.50,9.0,9.0,87.8,True
Joe Burrow,2020,1,1,CIN,23.0,LSU,True,4.0,11,29,39,74.4,287,2,5.1,0,0.0,7.4,8.38,9.9,26.1,153.1,True
Kyler Murray,2019,1,1,ARI,22.0,Oklahoma,False,3.0,8,72,121,59.5,686,5,4.1,7,5.8,5.7,3.89,9.5,85.8,109.2,True
